season,event_slug,corps_key,corps_name,caption_key,caption_name,category,score,rank
2013,2013-brass-impact,001j000000iwx97aad,Colt Cadets,MA,Music - Analysis,Music,12.2,1
2013,2013-brass-impact,001j000000iwx97aad,Colt Cadets,MP,Music - Percussion,Music,13,1
2013,2013-brass-impact,001j000000iwx98aad,Colts,GE1,General Effect 1,GE,15.4,3
2013,2013-brass-impact,001j000000iwx98aad,Colts,GE2,General Effect 2,GE,14.6,4
2013,2013-brass-impact,001j000000iwx98aad,Colts,VP,Visual Proficiency,Visual,14.3,4
2013,2013-brass-impact,001j000000iwx98aad,Colts,VA,Visual Analysis,Visual,15.2,4
2013,2013-brass-impact,001j000000iwx98aad,Colts,CG,Color Guard,Visual,14.4,5
2013,2013-brass-impact,001j000000iwx98aad,Colts,MB,Music - Brass,Music,13.6,5
2013,2013-brass-impact,001j000000iwx98aad,Colts,MA,Music - Analysis,Music,14.6,5
2013,2013-brass-impact,001j000000iwx98aad,Colts,MP,Music - Percussion,Music,14,5
2013,2013-brass-impact,001j000000iwx9aaat,Crossmen,GE1,General Effect 1,GE,14.6,5
2013,2013-brass-impact,001j000000iwx9aaat,Crossmen,GE2,General Effect 2,GE,14.4,5
2013,2013-brass-impact,001j000000iwx9aaat,Crossmen,VP,Visual Proficiency,Visual,14.1,5
2013,2013-brass-impact,001j000000iwx9aaat,Crossmen,VA,Visual Analysis,Visual,14.3,5
2013,2013-brass-impact,001j000000iwx9aaat,Crossmen,CG,Color Guard,Visual,14.9,4
2013,2013-brass-impact,001j000000iwx9aaat,Crossmen,MB,Music - Brass,Music,14.8,4
2013,2013-brass-impact,001j000000iwx9aaat,Crossmen,MA,Music - Analysis,Music,15,4
2013,2013-brass-impact,001j000000iwx9aaat,Crossmen,MP,Music - Percussion,Music,14.8,4
2013,2013-cavalcade-of-brass,001j000000iwwsqaal,Blue Stars,GE1,General Effect 1,GE,14.2,4
2013,2013-cavalcade-of-brass,001j000000iwwsqaal,Blue Stars,GE2,General Effect 2,GE,14.4,4
2013,2013-cavalcade-of-brass,001j000000iwwsqaal,Blue Stars,VP,Visual Proficiency,Visual,14.6,3
2013,2013-cavalcade-of-brass,001j000000iwwsqaal,Blue Stars,VA,Visual Analysis,Visual,13.8,4
2013,2013-cavalcade-of-brass,001j000000iwwsqaal,Blue Stars,CG,Color Guard,Visual,15.1,2
2013,2013-cavalcade-of-brass,001j000000iwwsqaal,Blue Stars,MB,Music - Brass,Music,14.9,3
2013,2013-cavalcade-of-brass,001j000000iwwsqaal,Blue Stars,MA,Music - Analysis,Music,15.1,3
2013,2013-cavalcade-of-brass,001j000000iwwsqaal,Blue Stars,MP,Music - Percussion,Music,14.9,2
2013,2013-cavalcade-of-brass,001j000000iwx97aad,Colt Cadets,GE1,General Effect 1,GE,13.5,2
2013,2013-cavalcade-of-brass,001j000000iwx97aad,Colt Cadets,GE2,General Effect 2,GE,11.3,2
2013,2013-cavalcade-of-brass,001j000000iwx97aad,Colt Cadets,VP,Visual Proficiency,Visual,13.3,2
2013,2013-cavalcade-of-brass,001j000000iwx97aad,Colt Cadets,VA,Visual Analysis,Visual,12.2,2
2013,2013-cavalcade-of-brass,001j000000iwx97aad,Colt Cadets,CG,Color Guard,Visual,12.9,2
2013,2013-cavalcade-of-brass,001j000000iwx97aad,Colt Cadets,MB,Music - Brass,Music,13.4,2
2013,2013-cavalcade-of-brass,001j000000iwx97aad,Colt Cadets,MA,Music - Analysis,Music,13.4,2
2013,2013-cavalcade-of-brass,001j000000iwx97aad,Colt Cadets,MP,Music - Percussion,Music,11.7,2
2013,2013-cavalcade-of-brass,001j000000iwx9aaat,Crossmen,GE1,General Effect 1,GE,14.4,3
2013,2013-cavalcade-of-brass,001j000000iwx9aaat,Crossmen,GE2,General Effect 2,GE,14.7,3
2013,2013-cavalcade-of-brass,001j000000iwx9aaat,Crossmen,VP,Visual Proficiency,Visual,14.5,4
2013,2013-cavalcade-of-brass,001j000000iwx9aaat,Crossmen,VA,Visual Analysis,Visual,14.6,2
2013,2013-cavalcade-of-brass,001j000000iwx9aaat,Crossmen,CG,Color Guard,Visual,14.6,4
2013,2013-cavalcade-of-brass,001j000000iwx9aaat,Crossmen,MB,Music - Brass,Music,14.7,4
2013,2013-cavalcade-of-brass,001j000000iwx9aaat,Crossmen,MA,Music - Analysis,Music,14.9,4
2013,2013-cavalcade-of-brass,001j000000iwx9aaat,Crossmen,MP,Music - Percussion,Music,14,4
2013,2013-cavalcade-of-brass,001j000000iwxa0aal,Legends,GE1,General Effect 1,GE,13.9,1
2013,2013-cavalcade-of-brass,001j000000iwxa0aal,Legends,GE2,General Effect 2,GE,12.9,1
2013,2013-cavalcade-of-brass,001j000000iwxa0aal,Legends,VP,Visual Proficiency,Visual,14.3,1
2013,2013-cavalcade-of-brass,001j000000iwxa0aal,Legends,VA,Visual Analysis,Visual,12.9,1
2013,2013-cavalcade-of-brass,001j000000iwxa0aal,Legends,CG,Color Guard,Visual,13.5,1
2013,2013-cavalcade-of-brass,001j000000iwxa0aal,Legends,MB,Music - Brass,Music,13.9,1
2013,2013-cavalcade-of-brass,001j000000iwxa0aal,Legends,MA,Music - Analysis,Music,13.5,1
2013,2013-cavalcade-of-brass,001j000000iwxa0aal,Legends,MP,Music - Percussion,Music,13.9,1
2013,2013-cavalcade-of-brass,001j000000iwxa8aal,Pioneer,GE1,General Effect 1,GE,12.1,5
2013,2013-cavalcade-of-brass,001j000000iwxa8aal,Pioneer,GE2,General Effect 2,GE,11.5,5
2013,2013-cavalcade-of-brass,001j000000iwxa8aal,Pioneer,VP,Visual Proficiency,Visual,12,5
2013,2013-cavalcade-of-brass,001j000000iwxa8aal,Pioneer,VA,Visual Analysis,Visual,11,5
2013,2013-cavalcade-of-brass,001j000000iwxa8aal,Pioneer,CG,Color Guard,Visual,13,5
2013,2013-cavalcade-of-brass,001j000000iwxa8aal,Pioneer,MB,Music - Brass,Music,12,5
2013,2013-cavalcade-of-brass,001j000000iwxa8aal,Pioneer,MA,Music - Analysis,Music,11,5
2013,2013-cavalcade-of-brass,001j000000iwxa8aal,Pioneer,MP,Music - Percussion,Music,12.5,5
2013,2013-cavalcade-of-brass,001j000000iwxadaa1,Spirit of Atlanta,GE1,General Effect 1,GE,14.7,2
2013,2013-cavalcade-of-brass,001j000000iwxadaa1,Spirit of Atlanta,GE2,General Effect 2,GE,15.3,1
2013,2013-cavalcade-of-brass,001j000000iwxadaa1,Spirit of Atlanta,VP,Visual Proficiency,Visual,15.2,2
2013,2013-cavalcade-of-brass,001j000000iwxadaa1,Spirit of Atlanta,VA,Visual Analysis,Visual,14.3,3
2013,2013-cavalcade-of-brass,001j000000iwxadaa1,Spirit of Atlanta,CG,Color Guard,Visual,14.9,3
2013,2013-cavalcade-of-brass,001j000000iwxadaa1,Spirit of Atlanta,MB,Music - Brass,Music,15.2,1
2013,2013-cavalcade-of-brass,001j000000iwxadaa1,Spirit of Atlanta,MA,Music - Analysis,Music,15.5,1
2013,2013-cavalcade-of-brass,001j000000iwxadaa1,Spirit of Atlanta,MP,Music - Percussion,Music,14.6,3
2013,2013-cavalcade-of-brass,001j000000iwxafaa1,The Cavaliers,GE1,General Effect 1,GE,15.3,1
2013,2013-cavalcade-of-brass,001j000000iwxafaa1,The Cavaliers,GE2,General Effect 2,GE,15.2,2
2013,2013-cavalcade-of-brass,001j000000iwxafaa1,The Cavaliers,VP,Visual Proficiency,Visual,16,1
2013,2013-cavalcade-of-brass,001j000000iwxafaa1,The Cavaliers,VA,Visual Analysis,Visual,15.8,1
2013,2013-cavalcade-of-brass,001j000000iwxafaa1,The Cavaliers,CG,Color Guard,Visual,15.7,1
2013,2013-cavalcade-of-brass,001j000000iwxafaa1,The Cavaliers,MB,Music - Brass,Music,15,2
2013,2013-cavalcade-of-brass,001j000000iwxafaa1,The Cavaliers,MA,Music - Analysis,Music,15.4,2
2013,2013-cavalcade-of-brass,001j000000iwxafaa1,The Cavaliers,MP,Music - Percussion,Music,15.1,1
2013,2013-celebration-in-brass,001j000000h3xwcaav,Santa Clara Vanguard,GE1,General Effect 1,GE,16.9,1
